Qno,Question
1,The teacher covers the entire syllabus 
2,The teacher discusses topics in detail
3,The teacher possesses deep knowledge of the  subject taught
4,The teacher communicates clearly
5,The teacher inspires me by his/her knowledge in  the subject
6,The teacher is punctual to the class
7,The teacher engages the class for the full duration  and completes the course in time
8,The teacher comes fully prepared for the class
9,The teacher provides guidance counseling in  academic and non - academic matters in/out side
10,The teacher encourages learning through problem  solving/ practical approach
